?û³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼??û	¶ÔÓ¦Îï¼?Ë÷??	¿í¶È	¸ß¶È	Ëµ?÷ÎÄ×Ö	Îå??Êô?Ô	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµ?·Å	»ù´¡Êô?Ô1Àà?Í	»ù´¡Êô?Ô1×î?¡Öµ	»ù´¡Êô?Ô1×î´óÖµ	»ù´¡Êô?Ô2Àà?Í	»ù´¡Êô?Ô2×î?¡Öµ	»ù´¡Êô?Ô2×î´óÖµ	»ù´¡Êô?Ô3Àà?Í	»ù´¡Êô?Ô3×î?¡Öµ	»ù´¡Êô?Ô3×î´óÖµ	»ù´¡Êô?Ô4Àà?Í	»ù´¡Êô?Ô4×î?¡Öµ	»ù´¡Êô?Ô4×î´óÖµ	»ù´¡Êô?Ô5Àà?Í	»ù´¡Êô?Ô5×î?¡Öµ	»ù´¡Êô?Ô5×î´óÖµ	»ù´¡Êô?Ô6Àà?Í	»ù´¡Êô?Ô6×î?¡Öµ	»ù´¡Êô?Ô6×î´óÖµ	»ù´¡Êô?Ô7Àà?Í	»ù´¡Êô?Ô7×î?¡Öµ	»ù´¡Êô?Ô7×î´óÖµ	?èÇóÊô?Ô1Àà?Í	?èÇóÊô?Ô1Ê?Öµ	?èÇóÊô?Ô2Àà?Í	?èÇóÊô?Ô2Ê?Öµ	?èÇóÊô?Ô3Àà?Í	?èÇóÊô?Ô3Ê?Öµ	?èÇóÊô?Ô4Àà?Í	?èÇóÊô?Ô4Ê?Öµ	?èÇóÊô?Ô5Àà?Í	?èÇóÊô?Ô5Ê?Öµ	?èÇóÊô?Ô6Àà?Í	?èÇóÊô?Ô6Ê?Öµ
XÝch Long C©u	0	10	9	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong nh÷ng thÇn m· ®i m©y v? gi?	6	250000	4	0	111	100%	100%	93	1200	1200	85	700	700	150	700	700	114	10	10	233	700	700	241	10	10	36	130										
XÝch Long C©u	0	10	9	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong nh÷ng thÇn m· ®i m©y v? gi?	6	250000	5	0	111	100%	100%	93	1200	1200	85	700	700	150	700	700	114	10	10	233	700	700	241	10	10	36	130										
XÝch Long C©u	0	10	9	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong nh÷ng thÇn m· ®i m©y v? gi?	6	250000	6	0	111	100%	100%	93	1200	1200	85	700	700	150	700	700	114	10	10	233	700	700	241	10	10	36	130										
XÝch Long C©u	0	10	9	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong nh÷ng thÇn m· ®i m©y v? gi?	6	250000	7	0	111	100%	100%	93	1200	1200	85	700	700	150	700	700	114	10	10	233	700	700	241	10	10	36	130										
XÝch Long C©u	0	10	9	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong nh÷ng thÇn m· ®i m©y v? gi?	6	250000	8	0	111	100%	100%	93	1200	1200	85	700	700	150	700	700	114	10	10	233	700	700	241	10	10	36	130										
XÝch Long C©u	0	10	9	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong nh÷ng thÇn m· ®i m©y v? gi?	6	250000	9	0	111	100%	100%	93	1200	1200	85	700	700	150	700	700	114	10	10	233	700	700	241	10	10	36	130										
XÝch Long C©u	0	10	9	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong nh÷ng thÇn m· ®i m©y v? gi?	6	250000	10	0	111	100%	100%	93	1200	1200	85	700	700	150	700	700	114	10	10	233	700	700	241	10	10	36	130										
TuyÖt Sa	0	10	10	\spr\item\equip\horse\horse009.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, ch©n kh«ng ch¹m ®Êt."	5	250000	1	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
TuyÖt Sa	0	10	10	\spr\item\equip\horse\horse009.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, ch©n kh«ng ch¹m ®Êt."	5	250000	2	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
TuyÖt Sa	0	10	10	\spr\item\equip\horse\horse009.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, ch©n kh«ng ch¹m ®Êt."	5	250000	3	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
TuyÖt Sa	0	10	10	\spr\item\equip\horse\horse009.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, ch©n kh«ng ch¹m ®Êt."	5	250000	4	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
TuyÖt Sa	0	10	10	\spr\item\equip\horse\horse009.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, ch©n kh«ng ch¹m ®Êt."	5	250000	5	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
TuyÖt Sa	0	10	10	\spr\item\equip\horse\horse009.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, ch©n kh«ng ch¹m ®Êt."	5	250000	6	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
TuyÖt Sa	0	10	10	\spr\item\equip\horse\horse009.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, ch©n kh«ng ch¹m ®Êt."	5	250000	7	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
TuyÖt Sa	0	10	10	\spr\item\equip\horse\horse009.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, ch©n kh«ng ch¹m ®Êt."	5	250000	8	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
TuyÖt Sa	0	10	10	\spr\item\equip\horse\horse009.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, ch©n kh«ng ch¹m ®Êt."	5	250000	9	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
TuyÖt Sa	0	10	10	\spr\item\equip\horse\horse009.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, ch©n kh«ng ch¹m ®Êt."	5	250000	10	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
Du Huy	0	10	11	\spr\item\equip\horse\horse002.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, mµu s¾c sÆc s?."	5	250000	1	0	111	100%	100%	93	1200	1200	85	800	800	150	800	800	114	10	10	88	8	8				36	130										
Du Huy	0	10	11	\spr\item\equip\horse\horse002.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, mµu s¾c sÆc s?."	5	250000	2	0	111	100%	100%	93	1200	1200	85	800	800	150	800	800	114	10	10	88	8	8				36	130										
Du Huy	0	10	11	\spr\item\equip\horse\horse002.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, mµu s¾c sÆc s?."	5	250000	3	0	111	100%	100%	93	1200	1200	85	800	800	150	800	800	114	10	10	88	8	8				36	130										
Du Huy	0	10	11	\spr\item\equip\horse\horse002.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, mµu s¾c sÆc s?."	5	250000	4	0	111	100%	100%	93	1200	1200	85	800	800	150	800	800	114	10	10	88	8	8				36	130										
Du Huy	0	10	11	\spr\item\equip\horse\horse002.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, mµu s¾c sÆc s?."	5	250000	5	0	111	100%	100%	93	1200	1200	85	800	800	150	800	800	114	10	10	88	8	8				36	130										
Du Huy	0	10	11	\spr\item\equip\horse\horse002.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, mµu s¾c sÆc s?."	5	250000	6	0	111	100%	100%	93	1200	1200	85	800	800	150	800	800	114	10	10	88	8	8				36	130										
Du Huy	0	10	11	\spr\item\equip\horse\horse002.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, mµu s¾c sÆc s?."	5	250000	7	0	111	100%	100%	93	1200	1200	85	800	800	150	800	800	114	10	10	88	8	8				36	130										
Du Huy	0	10	11	\spr\item\equip\horse\horse002.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, mµu s¾c sÆc s?."	5	250000	8	0	111	100%	100%	93	1200	1200	85	800	800	150	800	800	114	10	10	88	8	8				36	130										
Du Huy	0	10	11	\spr\item\equip\horse\horse002.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, mµu s¾c sÆc s?."	5	250000	9	0	111	100%	100%	93	1200	1200	85	800	800	150	800	800	114	10	10	88	8	8				36	130										
Du Huy	0	10	11	\spr\item\equip\horse\horse002.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, mµu s¾c sÆc s?."	5	250000	10	0	111	100%	100%	93	1200	1200	85	800	800	150	800	800	114	10	10	88	8	8				36	130										
§»ng Vô	0	10	12	\spr\item\equip\horse\horse008.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, ®i m©y v? gi?"	5	250000	1	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
§»ng Vô	0	10	12	\spr\item\equip\horse\horse008.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, ®i m©y v? gi?"	5	250000	2	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
§»ng Vô	0	10	12	\spr\item\equip\horse\horse008.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, ®i m©y v? gi?"	5	250000	3	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
§»ng Vô	0	10	12	\spr\item\equip\horse\horse008.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, ®i m©y v? gi?"	5	250000	4	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
§»ng Vô	0	10	12	\spr\item\equip\horse\horse008.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, ®i m©y v? gi?"	5	250000	5	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
§»ng Vô	0	10	12	\spr\item\equip\horse\horse008.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, ®i m©y v? gi?"	5	250000	6	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
§»ng Vô	0	10	12	\spr\item\equip\horse\horse008.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, ®i m©y v? gi?"	5	250000	7	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
§»ng Vô	0	10	12	\spr\item\equip\horse\horse008.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, ®i m©y v? gi?"	5	250000	8	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
§»ng Vô	0	10	12	\spr\item\equip\horse\horse008.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, ®i m©y v? gi?"	5	250000	9	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
§»ng Vô	0	10	12	\spr\item\equip\horse\horse008.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, ®i m©y v? gi?"	5	250000	10	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
Siªu Quang	0	10	13	\spr\item\equip\horse\horse003.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, tho¾t Èn tho¾t hiÖn."	5	250000	1	0	111	120%	120%	93	1500	1500	85	1000	1000	150	1000	1000	114	15	15	233	1000	1000	241	15	15	36	140										
Siªu Quang	0	10	13	\spr\item\equip\horse\horse003.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, tho¾t Èn tho¾t hiÖn."	5	250000	2	0	111	120%	120%	93	1500	1500	85	1000	1000	150	1000	1000	114	15	15	233	1000	1000	241	15	15	36	140										
Siªu Quang	0	10	13	\spr\item\equip\horse\horse003.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, tho¾t Èn tho¾t hiÖn."	5	250000	3	0	111	120%	120%	93	1500	1500	85	1000	1000	150	1000	1000	114	15	15	233	1000	1000	241	15	15	36	140										
Siªu Quang	0	10	13	\spr\item\equip\horse\horse003.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, tho¾t Èn tho¾t hiÖn."	5	250000	4	0	111	120%	120%	93	1500	1500	85	1000	1000	150	1000	1000	114	15	15	233	1000	1000	241	15	15	36	140										
Siªu Quang	0	10	13	\spr\item\equip\horse\horse003.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, tho¾t Èn tho¾t hiÖn."	5	250000	5	0	111	120%	120%	93	1500	1500	85	1000	1000	150	1000	1000	114	15	15	233	1000	1000	241	15	15	36	140										
Siªu Quang	0	10	13	\spr\item\equip\horse\horse003.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, tho¾t Èn tho¾t hiÖn."	5	250000	6	0	111	120%	120%	93	1500	1500	85	1000	1000	150	1000	1000	114	15	15	233	1000	1000	241	15	15	36	140										
Siªu Quang	0	10	13	\spr\item\equip\horse\horse003.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, tho¾t Èn tho¾t hiÖn."	5	250000	7	0	111	120%	120%	93	1500	1500	85	1000	1000	150	1000	1000	114	15	15	233	1000	1000	241	15	15	36	140										
Siªu Quang	0	10	13	\spr\item\equip\horse\horse003.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, tho¾t Èn tho¾t hiÖn."	5	250000	8	0	111	120%	120%	93	1500	1500	85	1000	1000	150	1000	1000	114	15	15	233	1000	1000	241	15	15	36	140										
Siªu Quang	0	10	13	\spr\item\equip\horse\horse003.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, tho¾t Èn tho¾t hiÖn."	5	250000	9	0	111	120%	120%	93	1500	1500	85	1000	1000	150	1000	1000	114	15	15	233	1000	1000	241	15	15	36	140										
Siªu Quang	0	10	13	\spr\item\equip\horse\horse003.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, tho¾t Èn tho¾t hiÖn."	5	250000	10	0	111	120%	120%	93	1500	1500	85	1000	1000	150	1000	1000	114	15	15	233	1000	1000	241	15	15	36	140										
Kim Tinh Hæ V­¬ng	0	10	14	\spr\item\equip\horse\horse030.spr	40	2	3	Chóa s¬n l©m	5	500000	1	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
Kim Tinh Hæ V­¬ng	0	10	14	\spr\item\equip\horse\horse030.spr	40	2	3	Chóa s¬n l©m	5	500000	2	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
Kim Tinh Hæ V­¬ng	0	10	14	\spr\item\equip\horse\horse030.spr	40	2	3	Chóa s¬n l©m	5	500000	3	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
Kim Tinh Hæ V­¬ng	0	10	14	\spr\item\equip\horse\horse030.spr	40	2	3	Chóa s¬n l©m	5	500000	4	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
Kim Tinh Hæ V­¬ng	0	10	14	\spr\item\equip\horse\horse030.spr	40	2	3	Chóa s¬n l©m	5	500000	5	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
Kim Tinh Hæ V­¬ng	0	10	14	\spr\item\equip\horse\horse030.spr	40	2	3	Chóa s¬n l©m	5	500000	6	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
Kim Tinh Hæ V­¬ng	0	10	14	\spr\item\equip\horse\horse030.spr	40	2	3	Chóa s¬n l©m	5	500000	7	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
Kim Tinh Hæ V­¬ng	0	10	14	\spr\item\equip\horse\horse030.spr	40	2	3	Chóa s¬n l©m	5	500000	8	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
Kim Tinh Hæ V­¬ng	0	10	14	\spr\item\equip\horse\horse030.spr	40	2	3	Chóa s¬n l©m	5	500000	9	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
Kim Tinh Hæ V­¬ng	0	10	14	\spr\item\equip\horse\horse030.spr	40	2	3	Chóa s¬n l©m	5	500000	10	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10							36	150										
Háa Tinh Kim Hæ V­¬ng	0	10	15	\spr\item\equip\horse\horse032.spr	40	2	3	"Hæ v­¬ng toµn th©n vµng ?ng, ®æi m¾t nh­ hai ®èm löa"	5	500000	1	0	111	100%	100%	93	1000	1000	85	1000	1000	233	1000	1000	150	500	500	114	5	5	241	5	5	36	150										
Háa Tinh Kim Hæ V­¬ng	0	10	15	\spr\item\equip\horse\horse032.spr	40	2	3	"Hæ v­¬ng toµn th©n vµng ?ng, ®æi m¾t nh­ hai ®èm löa"	5	500000	2	0	111	100%	100%	93	1000	1000	85	1000	1000	233	1000	1000	150	500	500	114	5	5	241	5	5	36	150										
Háa Tinh Kim Hæ V­¬ng	0	10	15	\spr\item\equip\horse\horse032.spr	40	2	3	"Hæ v­¬ng toµn th©n vµng ?ng, ®æi m¾t nh­ hai ®èm löa"	5	500000	3	0	111	100%	100%	93	1000	1000	85	1000	1000	233	1000	1000	150	500	500	114	5	5	241	5	5	36	150										
Háa Tinh Kim Hæ V­¬ng	0	10	15	\spr\item\equip\horse\horse032.spr	40	2	3	"Hæ v­¬ng toµn th©n vµng ?ng, ®æi m¾t nh­ hai ®èm löa"	5	500000	4	0	111	100%	100%	93	1000	1000	85	1000	1000	233	1000	1000	150	500	500	114	5	5	241	5	5	36	150										
Háa Tinh Kim Hæ V­¬ng	0	10	15	\spr\item\equip\horse\horse032.spr	40	2	3	"Hæ v­¬ng toµn th©n vµng ?ng, ®æi m¾t nh­ hai ®èm löa"	5	500000	5	0	111	100%	100%	93	1000	1000	85	1000	1000	233	1000	1000	150	500	500	114	5	5	241	5	5	36	150										
Háa Tinh Kim Hæ V­¬ng	0	10	15	\spr\item\equip\horse\horse032.spr	40	2	3	"Hæ v­¬ng toµn th©n vµng ?ng, ®æi m¾t nh­ hai ®èm löa"	5	500000	6	0	111	100%	100%	93	1000	1000	85	1000	1000	233	1000	1000	150	500	500	114	5	5	241	5	5	36	150										
Háa Tinh Kim Hæ V­¬ng	0	10	15	\spr\item\equip\horse\horse032.spr	40	2	3	"Hæ v­¬ng toµn th©n vµng ?ng, ®æi m¾t nh­ hai ®èm löa"	5	500000	7	0	111	100%	100%	93	1000	1000	85	1000	1000	233	1000	1000	150	500	500	114	5	5	241	5	5	36	150										
Háa Tinh Kim Hæ V­¬ng	0	10	15	\spr\item\equip\horse\horse032.spr	40	2	3	"Hæ v­¬ng toµn th©n vµng ?ng, ®æi m¾t nh­ hai ®èm löa"	5	500000	8	0	111	100%	100%	93	1000	1000	85	1000	1000	233	1000	1000	150	500	500	114	5	5	241	5	5	36	150										
Háa Tinh Kim Hæ V­¬ng	0	10	15	\spr\item\equip\horse\horse032.spr	40	2	3	"Hæ v­¬ng toµn th©n vµng ?ng, ®æi m¾t nh­ hai ®èm löa"	5	500000	9	0	111	100%	100%	93	1000	1000	85	1000	1000	233	1000	1000	150	500	500	114	5	5	241	5	5	36	150										
Háa Tinh Kim Hæ V­¬ng	0	10	15	\spr\item\equip\horse\horse032.spr	40	2	3	"Hæ v­¬ng toµn th©n vµng ?ng, ®æi m¾t nh­ hai ®èm löa"	5	500000	10	0	111	100%	100%	93	1000	1000	85	1000	1000	233	1000	1000	150	500	500	114	5	5	241	5	5	36	150										
Kim Tinh B¹ch Hæ V­¬ng	0	10	16	\spr\item\equip\horse\horse030.spr	40	2	3	B¹ch hæ v­¬ng c? ®«i m¾t ¸nh vµng	5	500000	1	0	111	100%	100%	93	1200	1200	85	1200	1200	233	1200	1200	150	500	500	114	15	15	241	15	15	36	150										
Kim Tinh B¹ch Hæ V­¬ng	0	10	16	\spr\item\equip\horse\horse030.spr	40	2	3	B¹ch hæ v­¬ng c? ®«i m¾t ¸nh vµng	5	500000	2	0	111	100%	100%	93	1200	1200	85	1200	1200	233	1200	1200	150	500	500	114	15	15	241	15	15	36	150										
Kim Tinh B¹ch Hæ V­¬ng	0	10	16	\spr\item\equip\horse\horse030.spr	40	2	3	B¹ch hæ v­¬ng c? ®«i m¾t ¸nh vµng	5	500000	3	0	111	100%	100%	93	1200	1200	85	1200	1200	233	1200	1200	150	500	500	114	15	15	241	15	15	36	150										
Kim Tinh B¹ch Hæ V­¬ng	0	10	16	\spr\item\equip\horse\horse030.spr	40	2	3	B¹ch hæ v­¬ng c? ®«i m¾t ¸nh vµng	5	500000	4	0	111	100%	100%	93	1200	1200	85	1200	1200	233	1200	1200	150	500	500	114	15	15	241	15	15	36	150										
Kim Tinh B¹ch Hæ V­¬ng	0	10	16	\spr\item\equip\horse\horse030.spr	40	2	3	B¹ch hæ v­¬ng c? ®«i m¾t ¸nh vµng	5	500000	5	0	111	100%	100%	93	1200	1200	85	1200	1200	233	1200	1200	150	500	500	114	15	15	241	15	15	36	150										
Kim Tinh B¹ch Hæ V­¬ng	0	10	16	\spr\item\equip\horse\horse030.spr	40	2	3	B¹ch hæ v­¬ng c? ®«i m¾t ¸nh vµng	5	500000	6	0	111	100%	100%	93	1200	1200	85	1200	1200	233	1200	1200	150	500	500	114	15	15	241	15	15	36	150										
Kim Tinh B¹ch Hæ V­¬ng	0	10	16	\spr\item\equip\horse\horse030.spr	40	2	3	B¹ch hæ v­¬ng c? ®«i m¾t ¸nh vµng	5	500000	7	0	111	100%	100%	93	1200	1200	85	1200	1200	233	1200	1200	150	500	500	114	15	15	241	15	15	36	150										
Kim Tinh B¹ch Hæ V­¬ng	0	10	16	\spr\item\equip\horse\horse030.spr	40	2	3	B¹ch hæ v­¬ng c? ®«i m¾t ¸nh vµng	5	500000	8	0	111	100%	100%	93	1200	1200	85	1200	1200	233	1200	1200	150	500	500	114	15	15	241	15	15	36	150										
Kim Tinh B¹ch Hæ V­¬ng	0	10	16	\spr\item\equip\horse\horse030.spr	40	2	3	B¹ch hæ v­¬ng c? ®«i m¾t ¸nh vµng	5	500000	9	0	111	100%	100%	93	1200	1200	85	1200	1200	233	1200	1200	150	500	500	114	15	15	241	15	15	36	150										
Kim Tinh B¹ch Hæ V­¬ng	0	10	16	\spr\item\equip\horse\horse030.spr	40	2	3	B¹ch hæ v­¬ng c? ®«i m¾t ¸nh vµng	5	500000	10	0	111	100%	100%	93	1200	1200	85	1200	1200	233	1200	1200	150	500	500	114	15	15	241	15	15	36	150										
Long Tinh H¾c Hæ V­¬ng	0	10	17	\spr\item\equip\horse\horse031.spr	40	2	3	"Uy phong lÉm liÖt, chØ c? bËc v­¬ng gi¶ míi ®ñ n¨ng lùc c­?i."	5	500000	1	0	111	110%	110%	93	1500	1500	85	1500	1500	233	1500	1500	150	700	700	114	20	20	241	20	20	36	120										
Long Tinh H¾c Hæ V­¬ng	0	10	17	\spr\item\equip\horse\horse031.spr	40	2	3	"Uy phong lÉm liÖt, chØ c? bËc v­¬ng gi¶ míi ®ñ n¨ng lùc c­?i."	5	500000	2	0	111	110%	110%	93	1500	1500	85	1500	1500	233	1500	1500	150	700	700	114	20	20	241	20	20	36	120										
Long Tinh H¾c Hæ V­¬ng	0	10	17	\spr\item\equip\horse\horse031.spr	40	2	3	"Uy phong lÉm liÖt, chØ c? bËc v­¬ng gi¶ míi ®ñ n¨ng lùc c­?i."	5	500000	3	0	111	110%	110%	93	1500	1500	85	1500	1500	233	1500	1500	150	700	700	114	20	20	241	20	20	36	120										
Long Tinh H¾c Hæ V­¬ng	0	10	17	\spr\item\equip\horse\horse031.spr	40	2	3	"Uy phong lÉm liÖt, chØ c? bËc v­¬ng gi¶ míi ®ñ n¨ng lùc c­?i."	5	500000	4	0	111	110%	110%	93	1500	1500	85	1500	1500	233	1500	1500	150	700	700	114	20	20	241	20	20	36	120										
Long Tinh H¾c Hæ V­¬ng	0	10	17	\spr\item\equip\horse\horse031.spr	40	2	3	"Uy phong lÉm liÖt, chØ c? bËc v­¬ng gi¶ míi ®ñ n¨ng lùc c­?i."	5	500000	5	0	111	110%	110%	93	1500	1500	85	1500	1500	233	1500	1500	150	700	700	114	20	20	241	20	20	36	120										
Long Tinh H¾c Hæ V­¬ng	0	10	17	\spr\item\equip\horse\horse031.spr	40	2	3	"Uy phong lÉm liÖt, chØ c? bËc v­¬ng gi¶ míi ®ñ n¨ng lùc c­?i."	5	500000	6	0	111	110%	110%	93	1500	1500	85	1500	1500	233	1500	1500	150	700	700	114	20	20	241	20	20	36	120										
Long Tinh H¾c Hæ V­¬ng	0	10	17	\spr\item\equip\horse\horse031.spr	40	2	3	"Uy phong lÉm liÖt, chØ c? bËc v­¬ng gi¶ míi ®ñ n¨ng lùc c­?i."	5	500000	7	0	111	110%	110%	93	1500	1500	85	1500	1500	233	1500	1500	150	700	700	114	20	20	241	20	20	36	120										
Long Tinh H¾c Hæ V­¬ng	0	10	17	\spr\item\equip\horse\horse031.spr	40	2	3	"Uy phong lÉm liÖt, chØ c? bËc v­¬ng gi¶ míi ®ñ n¨ng lùc c­?i."	5	500000	8	0	111	110%	110%	93	1500	1500	85	1500	1500	233	1500	1500	150	700	700	114	20	20	241	20	20	36	120										
Long Tinh H¾c Hæ V­¬ng	0	10	17	\spr\item\equip\horse\horse031.spr	40	2	3	"Uy phong lÉm liÖt, chØ c? bËc v­¬ng gi¶ míi ®ñ n¨ng lùc c­?i."	5	500000	9	0	111	110%	110%	93	1500	1500	85	1500	1500	233	1500	1500	150	700	700	114	20	20	241	20	20	36	120										
Long Tinh H¾c Hæ V­¬ng	0	10	17	\spr\item\equip\horse\horse031.spr	40	2	3	"Uy phong lÉm liÖt, chØ c? bËc v­¬ng gi¶ míi ®ñ n¨ng lùc c­?i."	5	500000	10	0	111	110%	110%	93	1500	1500	85	1500	1500	233	1500	1500	150	700	700	114	20	20	241	20	20	36	120										
H·n HuyÕt Long C©u	0	10	18	\spr\item\equip\horse\horse008.spr	40	2	3	"Uy phong lÉm liÖt, chØ c? bËc v­¬ng gi¶ míi ®ñ n¨ng lùc c­?i."	5	500000	1	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	114	20	20				36	150										
H·n HuyÕt Long C©u	0	10	18	\spr\item\equip\horse\horse008.spr	40	2	3	"Uy phong lÉm liÖt, chØ c? bËc v­¬ng gi¶ míi ®ñ n¨ng lùc c­?i."	5	500000	2	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	114	20	20				36	150										
H·n HuyÕt Long C©u	0	10	18	\spr\item\equip\horse\horse008.spr	40	2	3	"Uy phong lÉm liÖt, chØ c? bËc v­¬ng gi¶ míi ®ñ n¨ng lùc c­?i."	5	500000	3	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	114	20	20				36	150										
H·n HuyÕt Long C©u	0	10	18	\spr\item\equip\horse\horse008.spr	40	2	3	"Uy phong lÉm liÖt, chØ c? bËc v­¬ng gi¶ míi ®ñ n¨ng lùc c­?i."	5	500000	4	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	114	20	20				36	150										
