Tªn Trang BÞ	ItemGenre	DetailType	ParticularType	SPR		Ngang	Däc				Level																																			Dßng HiÖn	Dßng Èn	Dßng HiÖn	Dßng Èn	Dßng HiÖn	Dßng Èn	Opt	Opt		Skill	Dßng Cuèi		
XÝch L©n Di LÆc Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash21.spr	33	2	1	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp XÝch L©n(5)	0	99999	10	0	30	160	160	31	80	80																36	120	39	0									1687	2367	1727	1807	2087	2167	450	475	5	1002	2207	2	8
XÝch L©n Di LÆc Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth22.spr	22	2	3	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp XÝch L©n(6)	2	99999	10	0	30	720	720	31	90	90																36	120	39	0									1687	2407	1727	1847	2605	2167	450	475	6	1024	2787	2	8
XÝch L©n Di LÆc TriÒn Thñ	0	0	6	\spr\item\equip\closeweapon\obj-glove01.spr	9	1	2	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp XÝch L©n(7)	1	99999	10	0	28	1	1	29	1	1	167	-30	-30	31	99	99										36	120	39	0									2207	2247	1967	1767	2087	2167	450	475	7		1670	2	8
XÝch L©n Di LÆc T¨ng Hµi	0	5	0	\spr\item\equip\boots\obj-shoes21.spr	26	2	2	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp XÝch L©n(8)	3	99999	10	0	30	160	160	31	80	80																36	120	39	0									1687	2327	1727	1887	1927	2167	450	475	8		2207	2	8
XÝch L©n Di LÆc Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist25.spr	36	1	2	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp XÝch L©n(9)	4	99999	10	0																						36	120	39	0									1687	2287	1727	1767	2087	2167	450	475	9	1014	2207	2	8
XÝch L©n Di LÆc H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring22.spr	37	1	1	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp XÝch L©n(10)	0	99999	10	0																						36	120	39	0									1687	2367	1727	1807	2087	2167	450	475	10		1670	2	8
XÝch L©n Gi¸ng Ma PhËt Ch©u	0	4	1	\spr\item\equip\nick\obj-neck24.spr	36	2	1	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp XÝch L©n(1)	4	99999	10	0																						36	120	39	0									1687	2407	1727	1847	2127	2167	451	476	1	1036	2207	2	8
XÝch L©n Gi¸ng Ma T¨ng M¹o	0	7	0	\spr\item\equip\cap\obj-ma-cap22.spr	28	2	2	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp XÝch L©n(2)	0	99999	10	0	30	360	360	31	85	85																36	120	39	0									1687	2247	1727	1767	2087	2167	451	476	2		2207	2	8
XÝch L©n Gi¸ng Ma Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring21.spr	37	1	1	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp XÝch L©n(3)	2	99999	10	0																						36	120	39	0									1687	2327	1727	1887	2087	2167	451	476	3		1670	2	8
XÝch L©n Gi¸ng Ma Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle21.spr	34	1	2	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp XÝch L©n(4)	1	99999	10	0	30	135	135	31	80	80																36	120	39	0									1687	2287	1727	1767	2087	2167	451	476	4	1048	2787	2	8
XÝch L©n Gi¸ng Ma Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash21.spr	33	2	1	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp XÝch L©n(5)	3	99999	10	0	30	160	160	31	80	80																36	120	39	0									1687	2367	1727	1807	2087	2167	451	476	5	1030	2207	2	8
XÝch L©n Gi¸ng Ma Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth22.spr	22	2	3	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp XÝch L©n(6)	4	99999	10	0	30	720	720	31	90	90																36	120	39	0									1687	2407	1727	1847	2605	2167	451	476	6	1052	2787	2	8
XÝch L©n Gi¸ng Ma T¨ng C«n	0	0	2	\spr\item\equip\closeweapon\obj-staff15.spr	11	1	4	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp XÝch L©n(7)	0	99999	10	0	28	69	69	29	128	128	167	-30	-30	31	99	99										36	120	39	0									2706	2247	1967	1767	2087	2167	451	476	7		1670	2	8
XÝch L©n Gi¸ng Ma T¨ng Hµi	0	5	0	\spr\item\equip\boots\obj-shoes21.spr	26	2	2	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp XÝch L©n(8)	2	99999	10	0	30	160	160	31	80	80																36	120	39	0									1687	2327	1727	1887	1927	2167	451	476	8		2207	2	8
XÝch L©n Gi¸ng Ma Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist25.spr	36	1	2	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp XÝch L©n(9)	1	99999	10	0																						36	120	39	0									1687	2287	1727	1767	2087	2167	451	476	9	1042	2207	2	8
XÝch L©n Gi¸ng Ma H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring22.spr	37	1	1	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp XÝch L©n(10)	3	99999	10	0																						36	120	39	0									1687	2367	1727	1807	2087	2167	451	476	10		1670	2	8
XÝch L©n YÕt §Õ H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck24.spr	36	2	1	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp XÝch L©n(1)	4	99999	10	0																						36	120	39	0									1687	2407	1727	1847	2127	2167	452	477	1	1036	2207	2	8
XÝch L©n YÕt §Õ T¨ng M¹o	0	7	0	\spr\item\equip\cap\obj-ma-cap22.spr	28	2	2	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp XÝch L©n(2)	0	99999	10	0	30	360	360	31	85	85																36	120	39	0									1687	2247	1727	1767	2087	2167	452	477	2		2207	2	8
XÝch L©n YÕt §Õ Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring21.spr	37	1	1	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp XÝch L©n(3)	2	99999	10	0																						36	120	39	0									1687	2327	1727	1887	2087	2167	452	477	3		1670	2	8
XÝch L©n YÕt §Õ Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle21.spr	34	1	2	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp XÝch L©n(4)	1	99999	10	0	30	135	135	31	80	80																36	120	39	0									1687	2287	1727	1767	2087	2167	452	477	4		2787	2	8
XÝch L©n YÕt §Õ Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash21.spr	33	2	1	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp XÝch L©n(5)	3	99999	10	0	30	160	160	31	80	80																36	120	39	0									1687	2367	1727	1807	2087	2167	452	477	5	1058	2207	2	8
XÝch L©n YÕt §Õ Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth22.spr	22	2	3	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp XÝch L©n(6)	4	99999	10	0	30	720	720	31	90	90																36	120	39	0									1687	2407	1727	1847	2605	2167	452	477	6	1074	2787	2	8
XÝch L©n YÕt §Õ Giíi §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade25.spr	10	1	4	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp XÝch L©n(7)	0	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	120	39	0									2706	2247	1967	1767	2087	2167	452	477	7		1670	2	8
XÝch L©n YÕt §Õ T¨ng Hµi	0	5	1	\spr\item\equip\boots\obj-shoes21.spr	26	2	2	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp XÝch L©n(8)	2	99999	10	0	30	160	160	31	80	80																36	120	39	0									1687	2327	1727	1887	1927	2167	452	477	8	1070	2207	2	8
XÝch L©n YÕt §Õ Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist25.spr	36	1	2	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp XÝch L©n(9)	1	99999	10	0																						36	120	39	0									1687	2287	1727	1767	2087	2167	452	477	9	1064	2207	2	8
XÝch L©n YÕt §Õ H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring22.spr	37	1	1	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp XÝch L©n(10)	3	99999	10	0																						36	120	39	0									1687	2367	1727	1807	2087	2167	452	477	10		1670	2	8
XÝch L©n Th­êng Th¾ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck22.spr	36	2	1	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp XÝch L©n(1)	0	99999	10	0																						36	120	39	1									1687	2407	1727	1847	2127	2167	453	478	1	1086	2207	2	8
XÝch L©n Th­êng Th¾ng Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap23.spr	31	2	2	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp XÝch L©n(2)	2	99999	10	0	30	360	360	31	85	85																36	120	39	1									1687	2247	1727	1767	2087	2167	453	478	2	1098	2207	2	8
XÝch L©n Th­êng Th¾ng Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring17.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp XÝch L©n(3)	1	99999	10	0																						36	120	39	1									1687	2327	1727	1887	2087	2167	453	478	3		1670	2	8
XÝch L©n Th­êng Th¾ng Thóc UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle22.spr	34	1	2	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp XÝch L©n(4)	3	99999	10	0	30	135	135	31	80	80																36	120	39	1									1687	2287	1727	1767	2087	2167	453	478	4		2787	2	8
XÝch L©n Th­êng Th¾ng Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash22.spr	33	2	1	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp XÝch L©n(5)	4	99999	10	0	30	160	160	31	80	80																36	120	39	1									1687	2367	1727	1807	2087	2167	453	478	5	1080	2207	2	8
XÝch L©n Th­êng Th¾ng Kh¶i	0	2	4	\spr\item\equip\armor\obj-ma-cloth23.spr	23	2	3	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp XÝch L©n(6)	0	99999	10	0	30	720	720	31	90	90																36	120	39	1									1687	2407	1727	1847	2605	2167	453	478	6	1102	2787	2	8
XÝch L©n Th­êng Th¾ng Chïy	0	0	4	\spr\item\equip\closeweapon\obj-adha05.spr	13	2	2	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp XÝch L©n(7)	2	99999	10	0	28	55	55	29	165	165	167	-30	-30	31	99	99										36	120	39	1									2207	2247	1967	2007	2087	2167	453	478	7		1670	2	8
XÝch L©n Th­êng Th¾ng Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes22.spr	26	2	2	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp XÝch L©n(8)	1	99999	10	0	30	160	160	31	80	80																36	120	39	1									1687	2327	1727	1887	1927	2167	453	478	8		2207	2	8
XÝch L©n Th­êng Th¾ng Béi	0	9	1	\spr\item\equip\waist\obj-waist22.spr	36	1	2	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp XÝch L©n(9)	3	99999	10	0																						36	120	39	1									1687	2287	1727	1767	2087	2167	453	478	9	1092	2207	2	8
XÝch L©n Th­êng Th¾ng H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring18.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp XÝch L©n(10)	4	99999	10	0																						36	120	39	1									1687	2367	1727	1807	2087	2167	453	478	10		1670	2	8
XÝch L©n V« §Þch H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck22.spr	36	2	1	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp XÝch L©n(1)	0	99999	10	0																						36	120	39	1									1687	2407	1727	1847	2127	2167	454	479	1	1114	2207	2	8
XÝch L©n V« §Þch Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap23.spr	31	2	2	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp XÝch L©n(2)	2	99999	10	0	30	360	360	31	85	85																36	120	39	1									1687	2247	1727	1767	2087	2167	454	479	2		2207	2	8
XÝch L©n V« §Þch Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring17.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp XÝch L©n(3)	1	99999	10	0																						36	120	39	1									1687	2327	1727	1887	2087	2167	454	479	3		1670	2	8
XÝch L©n V« §Þch Thóc UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle22.spr	34	1	2	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp XÝch L©n(4)	3	99999	10	0	30	135	135	31	80	80																36	120	39	1									1687	2287	1727	1767	2087	2167	454	479	4	1126	2787	2	8
XÝch L©n V« §Þch Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash22.spr	33	2	1	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp XÝch L©n(5)	4	99999	10	0	30	160	160	31	80	80																36	120	39	1									1687	2367	1727	1807	2087	2167	454	479	5	1108	2207	2	8
XÝch L©n V« §Þch Kh¶i	0	2	4	\spr\item\equip\armor\obj-ma-cloth23.spr	23	2	3	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp XÝch L©n(6)	0	99999	10	0	30	720	720	31	90	90																36	120	39	1									1687	2407	1727	1847	2605	2167	454	479	6	1130	2787	2	8
XÝch L©n V« §Þch Th­¬ng	0	0	3	\spr\item\equip\closeweapon\obj-spear05.spr	12	1	4	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp XÝch L©n(7)	2	99999	10	0	28	18	18	29	158	158	167	-30	-30	31	99	99										36	120	39	1									2207	2247	1967	2007	2087	2167	454	479	7		1670	2	8
XÝch L©n V« §Þch Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes22.spr	26	2	2	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp XÝch L©n(8)	1	99999	10	0	30	160	160	31	80	80																36	120	39	1									1687	2327	1727	1887	1927	2167	454	479	8		2207	2	8
XÝch L©n V« §Þch Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist22.spr	36	1	2	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp XÝch L©n(9)	3	99999	10	0																						36	120	39	1									1687	2287	1727	1767	2087	2167	454	479	9	1120	2207	2	8
XÝch L©n V« §Þch H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring18.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp XÝch L©n(10)	4	99999	10	0																						36	120	39	1									1687	2367	1727	1807	2087	2167	454	479	10		1670	2	8
XÝch L©n L«i §×nh H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck22.spr	36	2	1	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp XÝch L©n(1)	0	99999	10	0																						36	120	39	1									1687	2407	1727	1847	2127	2167	455	480	1	1142	2207	2	8
XÝch L©n L«i §×nh Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap23.spr	31	2	2	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp XÝch L©n(2)	2	99999	10	0	30	360	360	31	85	85																36	120	39	1									1687	2247	1727	1767	2087	2167	455	480	2		2207	2	8
XÝch L©n L«i §×nh Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring17.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp XÝch L©n(3)	1	99999	10	0																						36	120	39	1									1687	2327	1727	1887	2087	2167	455	480	3		1670	2	8
XÝch L©n L«i §×nh Thóc UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle22.spr	34	1	2	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp XÝch L©n(4)	3	99999	10	0	30	135	135	31	80	80																36	120	39	1									1687	2287	1727	1767	2087	2167	455	480	4		2787	2	8
XÝch L©n L«i §×nh Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash22.spr	33	2	1	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp XÝch L©n(5)	4	99999	10	0	30	160	160	31	80	80																36	120	39	1									1687	2367	1727	1807	2087	2167	455	480	5	1136	2207	2	8
XÝch L©n L«i §×nh Kh¶i	0	2	4	\spr\item\equip\armor\obj-ma-cloth23.spr	23	2	3	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp XÝch L©n(6)	0	99999	10	0	30	720	720	31	90	90																36	120	39	1									1687	2407	1727	1847	2605	2167	455	480	6	1158	2787	2	8
XÝch L©n L«i §×nh B¶o §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade25.spr	10	1	4	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp XÝch L©n(7)	2	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	120	39	1									2207	2247	1967	2007	2087	2167	455	480	7		1670	2	8
XÝch L©n L«i §×nh Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes22.spr	26	2	2	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp XÝch L©n(8)	1	99999	10	0	30	160	160	31	80	80																36	120	39	1									1687	2327	1727	1887	1927	2167	455	480	8	1154	2207	2	8
XÝch L©n L«i §×nh Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist22.spr	36	1	2	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp XÝch L©n(9)	3	99999	10	0																						36	120	39	1									1687	2287	1727	1767	2087	2167	455	480	9	1148	2207	2	8
XÝch L©n L«i §×nh H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring18.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp XÝch L©n(10)	4	99999	10	0																						36	120	39	1									1687	2367	1727	1807	2087	2167	455	480	10		1670	2	8
XÝch L©n TuyÕt ¶nh Ch©u Liªn	0	4	0	\spr\item\equip\nick\obj-neck26.spr	36	2	1	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp XÝch L©n(1)	4	99999	10	0																						36	120	39	4									1687	2407	1727	1847	2127	2167	456	481	1	1170	2207	2	8
XÝch L©n TuyÕt ¶nh Ph¸t §¸i	0	7	10	\spr\item\equip\cap\obj-fm-cap22.spr	28	2	2	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp XÝch L©n(2)	0	99999	10	0	30	360	360	31	85	85																36	120	39	4									1687	2247	1727	1767	2087	2167	456	481	2		2207	2	8
XÝch L©n TuyÕt ¶nh Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring25.spr	37	1	1	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp XÝch L©n(3)	2	99999	10	0																						36	120	39	4									1687	2327	1727	1887	2087	2167	456	481	3		1670	2	8
XÝch L©n TuyÕt ¶nh Hé UyÓn	0	8	0	\spr\item\equip\bangle\obj-bangle23.spr	35	1	2	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp XÝch L©n(4)	1	99999	10	0	30	135	135	31	80	80																36	120	39	4									1687	2287	1727	1767	2087	2167	456	481	4	1182	2787	2	8
XÝch L©n TuyÕt ¶nh Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash23.spr	33	2	1	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp XÝch L©n(5)	3	99999	10	0	30	160	160	31	80	80																36	120	39	4									1687	2367	1727	1807	2087	2167	456	481	5	1164	2207	2	8
XÝch L©n TuyÕt ¶nh Sa Y	0	2	10	\spr\item\equip\armor\obj-fm-cloth23.spr	24	2	3	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp XÝch L©n(6)	4	99999	10	0	30	720	720	31	90	90																36	120	39	4									1687	2407	1727	1847	2605	2167	456	481	6	1186	2787	2	8
XÝch L©n TuyÕt ¶nh Tr­êng KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword25.spr	9	1	3	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp XÝch L©n(7)	0	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	120	39	4									2706	2247	1967	1767	2087	2167	456	481	7		1670	2	8
XÝch L©n TuyÕt ¶nh Ngoa	0	5	3	\spr\item\equip\boots\obj-shoes23.spr	27	2	2	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp XÝch L©n(8)	2	99999	10	0	30	160	160	31	80	80																36	120	39	4									1687	2327	1727	1887	1927	2167	456	481	8		2207	2	8
XÝch L©n TuyÕt ¶nh H­¬ng Nang	0	9	0	\spr\item\equip\waist\obj-waist27.spr	36	1	2	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp XÝch L©n(9)	1	99999	10	0																						36	120	39	4									1687	2287	1727	1767	2087	2167	456	481	9	1176	2207	2	8
XÝch L©n TuyÕt ¶nh H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring26.spr	37	1	1	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp XÝch L©n(10)	3	99999	10	0																						36	120	39	4									1687	2367	1727	1807	2087	2167	456	481	10		1670	2	8
XÝch L©n V©n Anh Ch©u Liªn	0	4	0	\spr\item\equip\nick\obj-neck26.spr	36	2	1	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp XÝch L©n(1)	4	99999	10	0																						36	120	39	4									1687	2407	1727	1847	2127	2167	457	482	1	1198	2207	2	8
XÝch L©n V©n Anh Ph¸t §¸i	0	7	10	\spr\item\equip\cap\obj-fm-cap22.spr	28	2	2	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp XÝch L©n(2)	0	99999	10	0	30	360	360	31	85	85																36	120	39	4									1687	2247	1727	1767	2087	2167	457	482	2		2207	2	8
XÝch L©n V©n Anh Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring25.spr	37	1	1	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp XÝch L©n(3)	2	99999	10	0																						36	120	39	4									1687	2327	1727	1887	2087	2167	457	482	3		1670	2	8
XÝch L©n V©n Anh Hé UyÓn	0	8	0	\spr\item\equip\bangle\obj-bangle23.spr	35	1	2	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp XÝch L©n(4)	1	99999	10	0	30	135	135	31	80	80																36	120	39	4									1687	2287	1727	1767	2087	2167	457	482	4		2787	2	8
XÝch L©n V©n Anh Thóc Yªu	0	6	1	\spr\item\equip\sash\obj-sash23.spr	33	2	1	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp XÝch L©n(5)	3	99999	10	0	30	160	160	31	80	80																36	120	39	4									1687	2367	1727	1807	2087	2167	457	482	5	1192	2207	2	8
XÝch L©n V©n Anh Sam	0	2	10	\spr\item\equip\armor\obj-fm-cloth23.spr	24	2	3	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp XÝch L©n(6)	4	99999	10	0	30	720	720	31	90	90																36	120	39	4									1687	2407	1727	1847	2605	2167	457	482	6	1214	2787	2	8
XÝch L©n V©n Anh TriÒn Thñ	0	0	6	\spr\item\equip\closeweapon\obj-glove02.spr	9	1	2	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp XÝch L©n(7)	0	99999	10	0	28	60	60	29	100	100	167	-30	-30	31	99	99										36	120	39	4									2726	2247	2447	1767	2087	2167	457	482	7		1670	2	8
XÝch L©n V©n Anh Ngoa	0	5	3	\spr\item\equip\boots\obj-shoes23.spr	27	2	2	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp XÝch L©n(8)	2	99999	10	0	30	160	160	31	80	80																36	120	39	4									1687	2327	1727	1887	1927	2167	457	482	8	1210	2207	2	8
XÝch L©n V©n Anh H­¬ng Nang	0	9	0	\spr\item\equip\waist\obj-waist27.spr	36	1	2	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp XÝch L©n(9)	1	99999	10	0																						36	120	39	4									1687	2287	1727	1767	2087	2167	457	482	9	1204	2207	2	8
XÝch L©n V©n Anh H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring26.spr	37	1	1	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp XÝch L©n(10)	3	99999	10	0																						36	120	39	4									1687	2367	1727	1807	2087	2167	457	482	10		1670	2	8
XÝch L©n Minh NguyÖt Ch©u Liªn	0	4	0	\spr\item\equip\nick\obj-neck26.spr	36	2	1	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp XÝch L©n(1)	4	99999	10	0																						36	120	39	5									1687	2407	1727	1847	2127	2167	458	483	1	1226	2207	2	8
XÝch L©n Minh NguyÖt Tr©m	0	7	9	\spr\item\equip\cap\obj-fm-cap22.spr	28	2	2	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp XÝch L©n(2)	0	99999	10	0	30	360	360	31	85	85																36	120	39	5									1687	2247	1727	1767	2087	2167	458	483	2		2207	2	8
XÝch L©n Minh NguyÖt Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring25.spr	37	1	1	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp XÝch L©n(3)	2	99999	10	0																						36	120	39	5									1687	2327	1727	1887	2087	2167	458	483	3		1670	2	8
XÝch L©n Minh NguyÖt Tô	0	8	0	\spr\item\equip\bangle\obj-bangle23.spr	35	1	2	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp XÝch L©n(4)	1	99999	10	0	30	135	135	31	80	80																36	120	39	5									1687	2287	1727	1767	2087	2167	458	483	4	1238	2787	2	8
XÝch L©n Minh NguyÖt Ti §¸i	0	6	0	\spr\item\equip\sash\obj-sash23.spr	32	2	1	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp XÝch L©n(5)	3	99999	10	0	30	160	160	31	80	80																36	120	39	5									1687	2367	1727	1807	2087	2167	458	483	5	1220	2207	2	8
XÝch L©n Minh NguyÖt Sam	0	2	9	\spr\item\equip\armor\obj-fm-cloth23.spr	24	2	3	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp XÝch L©n(6)	4	99999	10	0	30	720	720	31	90	90																36	120	39	5									1687	2407	1727	1847	2605	2167	458	483	6	1242	2787	2	8
XÝch L©n Minh NguyÖt §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade25.spr	10	1	4	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp XÝch L©n(7)	0	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	120	39	5									2706	2247	1967	1767	2087	2167	458	483	7		1670	2	8
XÝch L©n Minh NguyÖt Ngoa	0	5	3	\spr\item\equip\boots\obj-shoes23.spr	27	2	2	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp XÝch L©n(8)	2	99999	10	0	30	160	160	31	80	80																36	120	39	5									1687	2327	1727	1887	1927	2167	458	483	8		2207	2	8
XÝch L©n Minh NguyÖt H­¬ng Nang	0	9	0	\spr\item\equip\waist\obj-waist27.spr	36	1	2	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp XÝch L©n(9)	1	99999	10	0																						36	120	39	5									1687	2287	1727	1767	2087	2167	458	483	9	1232	2207	2	8
XÝch L©n Minh NguyÖt H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring26.spr	37	1	1	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp XÝch L©n(10)	3	99999	10	0																						36	120	39	5									1687	2367	1727	1807	2087	2167	458	483	10		1670	2	8
