Tªn Thuéc TÝnh				ID	Min	Max	H	I	Skill	Skill	L
Long Tr¶o Hæ Tr¶o				139	2	2	-1	-1	17	17	0
Long Tr¶o Hæ Tr¶o				139	3	3	-1	-1	17	17	0
Long Tr¶o Hæ Tr¶o				139	4	4	-1	-1	17	17	0
Long Tr¶o Hæ Tr¶o				139	5	5	-1	-1	17	17	0
Long Tr¶o Hæ Tr¶o				139	6	6	-1	-1	17	17	0
§¹t Ma §é Giang				139	1	1	-1	-1	318	318	0
§¹t Ma §é Giang				139	2	2	-1	-1	318	318	0
§¹t Ma §é Giang				139	3	3	-1	-1	318	318	0
§¹t Ma §é Giang				139	4	4	-1	-1	318	318	0
§¹t Ma §é Giang				139	5	5	-1	-1	318	318	0
§¹t Ma §é Giang				139	6	6	-1	-1	318	318	0
§¹i Lùc Kim Cang Ch­ëng				139	1	1	-1	-1	1055	1055	0
§¹i Lùc Kim Cang Ch­ëng				139	2	2	-1	-1	1055	1055	0
§¹i Lùc Kim Cang Ch­ëng				139	3	3	-1	-1	1055	1055	0
§¹i Lùc Kim Cang Ch­ëng				139	4	4	-1	-1	1055	1055	0
ThiÕu L©m C«n Ph¸p				139	1	1	-1	-1	4	4	0
ThiÕu L©m C«n Ph¸p				139	2	2	-1	-1	4	4	0
ThiÕu L©m C«n Ph¸p				139	3	3	-1	-1	4	4	0
ThiÕu L©m C«n Ph¸p				139	4	4	-1	-1	4	4	0
ThiÕu L©m C«n Ph¸p				139	5	5	-1	-1	4	4	0
ThiÕu L©m C«n Ph¸p				139	6	6	-1	-1	4	4	0
Kim Cang Phôc Ma				139	1	1	-1	-1	10	10	0
Kim Cang Phôc Ma				139	2	2	-1	-1	10	10	0
Kim Cang Phôc Ma				139	3	3	-1	-1	10	10	0
Kim Cang Phôc Ma				139	4	4	-1	-1	10	10	0
Kim Cang Phôc Ma				139	5	5	-1	-1	10	10	0
Kim Cang Phôc Ma				139	6	6	-1	-1	10	10	0
Hoµnh T¶o Lôc Hîp				139	1	1	-1	-1	11	11	0
Hoµnh T¶o Lôc Hîp				139	2	2	-1	-1	11	11	0
Hoµnh T¶o Lôc Hîp				139	3	3	-1	-1	11	11	0
Hoµnh T¶o Lôc Hîp				139	4	4	-1	-1	11	11	0
Hoµnh T¶o Lôc Hîp				139	5	5	-1	-1	11	11	0
Hoµnh T¶o Lôc Hîp				139	6	6	-1	-1	11	11	0
Hoµnh T¶o Thiªn Qu©n				139	1	1	-1	-1	319	319	0
Hoµnh T¶o Thiªn Qu©n				139	2	2	-1	-1	319	319	0
Hoµnh T¶o Thiªn Qu©n				139	3	3	-1	-1	319	319	0
Hoµnh T¶o Thiªn Qu©n				139	4	4	-1	-1	319	319	0
Hoµnh T¶o Thiªn Qu©n				139	5	5	-1	-1	319	319	0
Hoµnh T¶o Thiªn Qu©n				139	6	6	-1	-1	319	319	0
Vi §µ HiÕn Xö				139	1	1	-1	-1	1056	1056	0
Vi §µ HiÕn Xö				139	2	2	-1	-1	1056	1056	0
Vi §µ HiÕn Xö				139	3	3	-1	-1	1056	1056	0
Vi §µ HiÕn Xö				139	4	4	-1	-1	1056	1056	0
Thiªu L©m §ao Ph¸p				139	1	1	-1	-1	6	6	0
Thiªu L©m §ao Ph¸p				139	2	2	-1	-1	6	6	0
Thiªu L©m §ao Ph¸p				139	3	3	-1	-1	6	6	0
Thiªu L©m §ao Ph¸p				139	4	4	-1	-1	6	6	0
Thiªu L©m §ao Ph¸p				139	5	5	-1	-1	6	6	0
Thiªu L©m §ao Ph¸p				139	6	6	-1	-1	6	6	0
Ma Ha V« L­îng				139	1	1	-1	-1	19	19	0
Ma Ha V« L­îng				139	2	2	-1	-1	19	19	0
Ma Ha V« L­îng				139	3	3	-1	-1	19	19	0
Ma Ha V« L­îng				139	4	4	-1	-1	19	19	0
Ma Ha V« L­îng				139	5	5	-1	-1	19	19	0
Ma Ha V« L­îng				139	6	6	-1	-1	19	19	0
V« T­íng Tr¶m 				139	1	1	-1	-1	321	321	0
V« T­íng Tr¶m 				139	2	2	-1	-1	321	321	0
V« T­íng Tr¶m 				139	3	3	-1	-1	321	321	0
V« T­íng Tr¶m 				139	4	4	-1	-1	321	321	0
V« T­íng Tr¶m 				139	5	5	-1	-1	321	321	0
V« T­íng Tr¶m 				139	6	6	-1	-1	321	321	0
Tam Giíi Quy ThiÒn				139	1	1	-1	-1	1057	1057	0
Tam Giíi Quy ThiÒn				139	2	2	-1	-1	1057	1057	0
Tam Giíi Quy ThiÒn				139	3	3	-1	-1	1057	1057	0
Tam Giíi Quy ThiÒn				139	4	4	-1	-1	1057	1057	0
Thiªn V­¬ng Chïy Ph¸p				139	1	1	-1	-1	26	26	0
Thiªn V­¬ng Chïy Ph¸p				139	2	2	-1	-1	26	26	0
Thiªn V­¬ng Chïy Ph¸p				139	3	3	-1	-1	26	26	0
Thiªn V­¬ng Chïy Ph¸p				139	4	4	-1	-1	26	26	0
Thiªn V­¬ng Chïy Ph¸p				139	5	5	-1	-1	26	26	0
Thiªn V­¬ng Chïy Ph¸p				139	6	6	-1	-1	26	26	0
Tr¶m Long QuyÕt				139	1	1	-1	-1	29	29	0
Tr¶m Long QuyÕt				139	2	2	-1	-1	29	29	0
Tr¶m Long QuyÕt				139	3	3	-1	-1	29	29	0
Tr¶m Long QuyÕt				139	4	4	-1	-1	29	29	0
Tr¶m Long QuyÕt				139	5	5	-1	-1	29	29	0
Tr¶m Long QuyÕt				139	6	6	-1	-1	29	29	0
Hµng V©n QuyÕt 				139	1	1	-1	-1	31	31	0
Hµng V©n QuyÕt 				139	2	2	-1	-1	31	31	0
Hµng V©n QuyÕt 				139	3	3	-1	-1	31	31	0
Hµng V©n QuyÕt 				139	4	4	-1	-1	31	31	0
Hµng V©n QuyÕt 				139	5	5	-1	-1	31	31	0
Hµng V©n QuyÕt 				139	6	6	-1	-1	31	31	0
Truy Phong QuyÕt				139	1	1	-1	-1	325	325	0
Truy Phong QuyÕt				139	2	2	-1	-1	325	325	0
Truy Phong QuyÕt				139	3	3	-1	-1	325	325	0
Truy Phong QuyÕt				139	4	4	-1	-1	325	325	0
Truy Phong QuyÕt				139	5	5	-1	-1	325	325	0
Truy Phong QuyÕt				139	6	6	-1	-1	325	325	0
Tung Hoµnh B¸t Hoang				139	1	1	-1	-1	1059	1059	0
Tung Hoµnh B¸t Hoang				139	2	2	-1	-1	1059	1059	0
Tung Hoµnh B¸t Hoang				139	3	3	-1	-1	1059	1059	0
Tung Hoµnh B¸t Hoang				139	4	4	-1	-1	1059	1059	0
Thiªn V­¬ng Th­¬ng Ph¸p				139	1	1	-1	-1	23	23	0
Thiªn V­¬ng Th­¬ng Ph¸p				139	2	2	-1	-1	23	23	0
Thiªn V­¬ng Th­¬ng Ph¸p				139	3	3	-1	-1	23	23	0
Thiªn V­¬ng Th­¬ng Ph¸p				139	4	4	-1	-1	23	23	0
Thiªn V­¬ng Th­¬ng Ph¸p				139	5	5	-1	-1	23	23	0
Thiªn V­¬ng Th­¬ng Ph¸p				139	6	6	-1	-1	23	23	0
Håi Phong L¹c Nh¹n 				139	1	1	-1	-1	30	30	0
Håi Phong L¹c Nh¹n 				139	2	2	-1	-1	30	30	0
Håi Phong L¹c Nh¹n 				139	3	3	-1	-1	30	30	0
Håi Phong L¹c Nh¹n 				139	4	4	-1	-1	30	30	0
Håi Phong L¹c Nh¹n 				139	5	5	-1	-1	30	30	0
Håi Phong L¹c Nh¹n 				139	6	6	-1	-1	30	30	0
D­¬ng Quan Tam §iÖp 				139	1	1	-1	-1	35	35	0
D­¬ng Quan Tam §iÖp 				139	2	2	-1	-1	35	35	0
D­¬ng Quan Tam §iÖp 				139	3	3	-1	-1	35	35	0
D­¬ng Quan Tam §iÖp 				139	4	4	-1	-1	35	35	0
D­¬ng Quan Tam §iÖp 				139	5	5	-1	-1	35	35	0
D­¬ng Quan Tam §iÖp 				139	6	6	-1	-1	35	35	0
Truy Tinh Trôc NguyÖt				139	1	1	-1	-1	323	323	0
Truy Tinh Trôc NguyÖt				139	2	2	-1	-1	323	323	0
Truy Tinh Trôc NguyÖt				139	3	3	-1	-1	323	323	0
Truy Tinh Trôc NguyÖt				139	4	4	-1	-1	323	323	0
Truy Tinh Trôc NguyÖt				139	5	5	-1	-1	323	323	0
Truy Tinh Trôc NguyÖt				139	6	6	-1	-1	323	323	0
B¸ V­¬ng T¹m Kim				139	1	1	-1	-1	1060	1060	0
B¸ V­¬ng T¹m Kim				139	2	2	-1	-1	1060	1060	0
B¸ V­¬ng T¹m Kim				139	3	3	-1	-1	1060	1060	0
B¸ V­¬ng T¹m Kim				139	4	4	-1	-1	1060	1060	0
Thiªn V­¬ng §ao Ph¸p				139	1	1	-1	-1	24	24	0
Thiªn V­¬ng §ao Ph¸p				139	2	2	-1	-1	24	24	0
Thiªn V­¬ng §ao Ph¸p				139	3	3	-1	-1	24	24	0
Thiªn V­¬ng §ao Ph¸p				139	4	4	-1	-1	24	24	0
Thiªn V­¬ng §ao Ph¸p				139	5	5	-1	-1	24	24	0
Thiªn V­¬ng §ao Ph¸p				139	6	6	-1	-1	24	24	0
Kinh L«i Tr¶m				139	1	1	-1	-1	34	34	0
Kinh L«i Tr¶m				139	2	2	-1	-1	34	34	0
Kinh L«i Tr¶m				139	3	3	-1	-1	34	34	0
Kinh L«i Tr¶m				139	4	4	-1	-1	34	34	0
Kinh L«i Tr¶m				139	5	5	-1	-1	34	34	0
Kinh L«i Tr¶m				139	6	6	-1	-1	34	34	0
B¸t Phong Tr¶m				139	1	1	-1	-1	37	37	0
B¸t Phong Tr¶m				139	2	2	-1	-1	37	37	0
B¸t Phong Tr¶m				139	3	3	-1	-1	37	37	0
B¸t Phong Tr¶m				139	4	4	-1	-1	37	37	0
B¸t Phong Tr¶m				139	5	5	-1	-1	37	37	0
B¸t Phong Tr¶m				139	6	6	-1	-1	37	37	0
Ph¸ Thiªn Tr¶m 				139	1	1	-1	-1	322	322	0
Ph¸ Thiªn Tr¶m 				139	2	2	-1	-1	322	322	0
Ph¸ Thiªn Tr¶m 				139	3	3	-1	-1	322	322	0
Ph¸ Thiªn Tr¶m 				139	4	4	-1	-1	322	322	0
Ph¸ Thiªn Tr¶m 				139	5	5	-1	-1	322	322	0
Ph¸ Thiªn Tr¶m 				139	6	6	-1	-1	322	322	0
Hµo Hïng Tr¶m				139	1	1	-1	-1	1058	1058	0
Hµo Hïng Tr¶m				139	2	2	-1	-1	1058	1058	0
Hµo Hïng Tr¶m				139	3	3	-1	-1	1058	1058	0
Hµo Hïng Tr¶m				139	4	4	-1	-1	1058	1058	0
Nga My KiÕm Ph¸p				139	1	1	-1	-1	77	77	0
Nga My KiÕm Ph¸p				139	2	2	-1	-1	77	77	0
Nga My KiÕm Ph¸p				139	3	3	-1	-1	77	77	0
Nga My KiÕm Ph¸p				139	4	4	-1	-1	77	77	0
Nga My KiÕm Ph¸p				139	5	5	-1	-1	77	77	0
Nga My KiÕm Ph¸p				139	6	6	-1	-1	77	77	0
NhÊt DiÖp Chi Thu				139	1	1	-1	-1	85	85	0
NhÊt DiÖp Chi Thu				139	2	2	-1	-1	85	85	0
NhÊt DiÖp Chi Thu				139	3	3	-1	-1	85	85	0
NhÊt DiÖp Chi Thu				139	4	4	-1	-1	85	85	0
NhÊt DiÖp Chi Thu				139	5	5	-1	-1	85	85	0
NhÊt DiÖp Chi Thu				139	6	6	-1	-1	85	85	0
Th«i Song Väng NguyÖt				139	1	1	-1	-1	385	385	0
Th«i Song Väng NguyÖt				139	2	2	-1	-1	385	385	0
Th«i Song Väng NguyÖt				139	3	3	-1	-1	385	385	0
Th«i Song Väng NguyÖt				139	4	4	-1	-1	385	385	0
Th«i Song Väng NguyÖt				139	5	5	-1	-1	385	385	0
Th«i Song Väng NguyÖt				139	6	6	-1	-1	385	385	0
Tam Nga TÒ TuyÕt				139	1	1	-1	-1	328	328	0
Tam Nga TÒ TuyÕt				139	2	2	-1	-1	328	328	0
Tam Nga TÒ TuyÕt				139	3	3	-1	-1	328	328	0
Tam Nga TÒ TuyÕt				139	4	4	-1	-1	328	328	0
Tam Nga TÒ TuyÕt				139	5	5	-1	-1	328	328	0
Tam Nga TÒ TuyÕt				139	6	6	-1	-1	328	328	0
KiÕm Hoa V·n Tinh				139	1	1	-1	-1	1061	1061	0
KiÕm Hoa V·n Tinh				139	2	2	-1	-1	1061	1061	0
KiÕm Hoa V·n Tinh				139	3	3	-1	-1	1061	1061	0
KiÕm Hoa V·n Tinh				139	4	4	-1	-1	1061	1061	0
Nga My Ch­ëng Ph¸p				139	1	1	-1	-1	79	79	0
Nga My Ch­ëng Ph¸p				139	2	2	-1	-1	79	79	0
Nga My Ch­ëng Ph¸p				139	3	3	-1	-1	79	79	0
Nga My Ch­ëng Ph¸p				139	4	4	-1	-1	79	79	0
Nga My Ch­ëng Ph¸p				139	5	5	-1	-1	79	79	0
Nga My Ch­ëng Ph¸p				139	6	6	-1	-1	79	79	0
Phiªu TuyÕt Xuyªn V©n				139	1	1	-1	-1	80	80	0
Phiªu TuyÕt Xuyªn V©n				139	2	2	-1	-1	80	80	0
Phiªu TuyÕt Xuyªn V©n				139	3	3	-1	-1	80	80	0
Phiªu TuyÕt Xuyªn V©n				139	4	4	-1	-1	80	80	0
Phiªu TuyÕt Xuyªn V©n				139	5	5	-1	-1	80	80	0
Phiªu TuyÕt Xuyªn V©n				139	6	6	-1	-1	80	80	0
Tø T­îng §ång Quy				139	1	1	-1	-1	82	82	0
Tø T­îng §ång Quy				139	2	2	-1	-1	82	82	0
Tø T­îng §ång Quy				139	3	3	-1	-1	82	82	0
Tø T­îng §ång Quy				139	4	4	-1	-1	82	82	0
Tø T­îng §ång Quy				139	5	5	-1	-1	82	82	0
Tø T­îng §ång Quy				139	6	6	-1	-1	82	82	0
Phong S­¬ng To¸i ¶nh				139	1	1	-1	-1	380	380	0
Phong S­¬ng To¸i ¶nh				139	2	2	-1	-1	380	380	0
Phong S­¬ng To¸i ¶nh				139	3	3	-1	-1	380	380	0
Phong S­¬ng To¸i ¶nh				139	4	4	-1	-1	380	380	0
Phong S­¬ng To¸i ¶nh				139	5	5	-1	-1	380	380	0
Phong S­¬ng To¸i ¶nh				139	6	6	-1	-1	380	380	0
B¨ng Vò L¹c Tinh				139	1	1	-1	-1	1062	1062	0
B¨ng Vò L¹c Tinh				139	2	2	-1	-1	1062	1062	0
B¨ng Vò L¹c Tinh				139	3	3	-1	-1	1062	1062	0
B¨ng Vò L¹c Tinh				139	4	4	-1	-1	1062	1062	0
Thóy Yªn §ao Ph¸p				139	1	1	-1	-1	95	95	0
Thóy Yªn §ao Ph¸p				139	2	2	-1	-1	95	95	0
Thóy Yªn §ao Ph¸p				139	3	3	-1	-1	95	95	0
Thóy Yªn §ao Ph¸p				139	4	4	-1	-1	95	95	0
Thóy Yªn §ao Ph¸p				139	5	5	-1	-1	95	95	0
Thóy Yªn §ao Ph¸p				139	6	6	-1	-1	95	95	0
Phong Hoa TuyÕt NguyÖt				139	1	1	-1	-1	99	99	0
Phong Hoa TuyÕt NguyÖt				139	2	2	-1	-1	99	99	0
Phong Hoa TuyÕt NguyÖt				139	3	3	-1	-1	99	99	0
Phong Hoa TuyÕt NguyÖt				139	4	4	-1	-1	99	99	0
Phong Hoa TuyÕt NguyÖt				139	5	5	-1	-1	99	99	0
Phong Hoa TuyÕt NguyÖt				139	6	6	-1	-1	99	99	0
Vò §¶ Lª Hoa				139	1	1	-1	-1	105	105	0
Vò §¶ Lª Hoa				139	2	2	-1	-1	105	105	0
Vò §¶ Lª Hoa				139	3	3	-1	-1	105	105	0
Vò §¶ Lª Hoa				139	4	4	-1	-1	105	105	0
Vò §¶ Lª Hoa				139	5	5	-1	-1	105	105	0
Vò §¶ Lª Hoa				139	6	6	-1	-1	105	105	0
B¨ng Tung V« ¶nh				139	1	1	-1	-1	336	336	0
B¨ng Tung V« ¶nh				139	2	2	-1	-1	336	336	0
B¨ng Tung V« ¶nh				139	3	3	-1	-1	336	336	0
B¨ng Tung V« ¶nh				139	4	4	-1	-1	336	336	0
B¨ng Tung V« ¶nh				139	5	5	-1	-1	336	336	0
B¨ng Tung V« ¶nh				139	6	6	-1	-1	336	336	0
B¨ng T­íc Ho¹t Kú				139	1	1	-1	-1	1063	1063	0
B¨ng T­íc Ho¹t Kú				139	2	2	-1	-1	1063	1063	0
B¨ng T­íc Ho¹t Kú				139	3	3	-1	-1	1063	1063	0
B¨ng T­íc Ho¹t Kú				139	4	4	-1	-1	1063	1063	0
Thóy Yªn Song §ao				139	1	1	-1	-1	97	97	0
Thóy Yªn Song §ao				139	2	2	-1	-1	97	97	0
Thóy Yªn Song §ao				139	3	3	-1	-1	97	97	0
Thóy Yªn Song §ao				139	4	4	-1	-1	97	97	0
Thóy Yªn Song §ao				139	5	5	-1	-1	97	97	0
Thóy Yªn Song §ao				139	6	6	-1	-1	97	97	0
Phong QuyÓn Tµn TuyÕt				139	1	1	-1	-1	102	102	0
Phong QuyÓn Tµn TuyÕt				139	2	2	-1	-1	102	102	0
Phong QuyÓn Tµn TuyÕt				139	3	3	-1	-1	102	102	0
Phong QuyÓn Tµn TuyÕt				139	4	4	-1	-1	102	102	0
Phong QuyÓn Tµn TuyÕt				139	5	5	-1	-1	102	102	0
Phong QuyÓn Tµn TuyÕt				139	6	6	-1	-1	102	102	0
Phï V©n Tµn TuyÕt				139	1	1	-1	-1	113	113	0
Phï V©n Tµn TuyÕt				139	2	2	-1	-1	113	113	0
Phï V©n Tµn TuyÕt				139	3	3	-1	-1	113	113	0
Phï V©n Tµn TuyÕt				139	4	4	-1	-1	113	113	0
Phï V©n Tµn TuyÕt				139	5	5	-1	-1	113	113	0
Phï V©n Tµn TuyÕt				139	6	6	-1	-1	113	113	0
B¨ng T©m Tiªn Tö				139	1	1	-1	-1	337	337	0
B¨ng T©m Tiªn Tö				139	2	2	-1	-1	337	337	0
B¨ng T©m Tiªn Tö				139	3	3	-1	-1	337	337	0
B¨ng T©m Tiªn Tö				139	4	4	-1	-1	337	337	0
B¨ng T©m Tiªn Tö				139	5	5	-1	-1	337	337	0
B¨ng T©m Tiªn Tö				139	6	6	-1	-1	337	337	0
Thñy Anh Man Tó				139	1	1	-1	-1	1065	1065	0
Thñy Anh Man Tó				139	2	2	-1	-1	1065	1065	0
Thñy Anh Man Tó				139	3	3	-1	-1	1065	1065	0
Thñy Anh Man Tó				139	4	4	-1	-1	1065	1065	0
Ngò §éc Ch­ëng Ph¸p				139	1	1	-1	-1	62	62	0
Ngò §éc Ch­ëng Ph¸p				139	2	2	-1	-1	62	62	0
Ngò §éc Ch­ëng Ph¸p				139	3	3	-1	-1	62	62	0
Ngò §éc Ch­ëng Ph¸p				139	4	4	-1	-1	62	62	0
Ngò §éc Ch­ëng Ph¸p				139	5	5	-1	-1	62	62	0
Ngò §éc Ch­ëng Ph¸p				139	6	6	-1	-1	62	62	0
§éc Sa Ch­ëng				139	1	1	-1	-1	63	63	0
§éc Sa Ch­ëng				139	2	2	-1	-1	63	63	0
§éc Sa Ch­ëng				139	3	3	-1	-1	63	63	0
§éc Sa Ch­ëng				139	4	4	-1	-1	63	63	0
§éc Sa Ch­ëng				139	5	5	-1	-1	63	63	0
§éc Sa Ch­ëng				139	6	6	-1	-1	63	63	0
U Minh Kh« L©u				139	1	1	-1	-1	68	68	0
U Minh Kh« L©u				139	2	2	-1	-1	68	68	0
U Minh Kh« L©u				139	3	3	-1	-1	68	68	0
U Minh Kh« L©u				139	4	4	-1	-1	68	68	0
U Minh Kh« L©u				139	5	5	-1	-1	68	68	0
U Minh Kh« L©u				139	6	6	-1	-1	68	68	0
¢m Phong Thùc Cèt				139	1	1	-1	-1	353	353	0
¢m Phong Thùc Cèt				139	2	2	-1	-1	353	353	0
¢m Phong Thùc Cèt				139	3	3	-1	-1	353	353	0
¢m Phong Thùc Cèt				139	4	4	-1	-1	353	353	0
¢m Phong Thùc Cèt				139	5	5	-1	-1	353	353	0
¢m Phong Thùc Cèt				139	6	6	-1	-1	353	353	0
H×nh Tiªu Cèt LËp				139	1	1	-1	-1	1066	1066	0
H×nh Tiªu Cèt LËp				139	2	2	-1	-1	1066	1066	0
H×nh Tiªu Cèt LËp				139	3	3	-1	-1	1066	1066	0
H×nh Tiªu Cèt LËp				139	4	4	-1	-1	1066	1066	0
Ngò §éc §ao Ph¸p				139	1	1	-1	-1	60	60	0
Ngò §éc §ao Ph¸p				139	2	2	-1	-1	60	60	0
Ngò §éc §ao Ph¸p				139	3	3	-1	-1	60	60	0
Ngò §éc §ao Ph¸p				139	4	4	-1	-1	60	60	0
Ngò §éc §ao Ph¸p				139	5	5	-1	-1	60	60	0
Ngò §éc §ao Ph¸p				139	6	6	-1	-1	60	60	0
HuyÕt §ao §éc S¸t				139	1	1	-1	-1	65	65	0
HuyÕt §ao §éc S¸t				139	2	2	-1	-1	65	65	0
HuyÕt §ao §éc S¸t				139	3	3	-1	-1	65	65	0
HuyÕt §ao §éc S¸t				139	4	4	-1	-1	65	65	0
HuyÕt §ao §éc S¸t				139	5	5	-1	-1	65	65	0
HuyÕt §ao §éc S¸t				139	6	6	-1	-1	65	65	0
B¸ch §éc Xuyªn T©m				139	1	1	-1	-1	384	384	0
B¸ch §éc Xuyªn T©m				139	2	2	-1	-1	384	384	0
B¸ch §éc Xuyªn T©m				139	3	3	-1	-1	384	384	0
B¸ch §éc Xuyªn T©m				139	4	4	-1	-1	384	384	0
B¸ch §éc Xuyªn T©m				139	5	5	-1	-1	384	384	0
B¸ch §éc Xuyªn T©m				139	6	6	-1	-1	384	384	0
HuyÒn ¢m Tr¶m				139	1	1	-1	-1	355	355	0
HuyÒn ¢m Tr¶m				139	2	2	-1	-1	355	355	0
HuyÒn ¢m Tr¶m				139	3	3	-1	-1	355	355	0
HuyÒn ¢m Tr¶m				139	4	4	-1	-1	355	355	0
HuyÒn ¢m Tr¶m				139	5	5	-1	-1	355	355	0
HuyÒn ¢m Tr¶m				139	6	6	-1	-1	355	355	0
U Hån PhÖ ¶nh				139	1	1	-1	-1	1067	1067	0
U Hån PhÖ ¶nh				139	2	2	-1	-1	1067	1067	0
U Hån PhÖ ¶nh				139	3	3	-1	-1	1067	1067	0
U Hån PhÖ ¶nh				139	4	4	-1	-1	1067	1067	0
§­êng M«n ¸m KhÝ				139	1	1	-1	-1	43	43	0
§­êng M«n ¸m KhÝ				139	2	2	-1	-1	43	43	0
§­êng M«n ¸m KhÝ				139	3	3	-1	-1	43	43	0
§­êng M«n ¸m KhÝ				139	4	4	-1	-1	43	43	0
§­êng M«n ¸m KhÝ				139	5	5	-1	-1	43	43	0
§­êng M«n ¸m KhÝ				139	6	6	-1	-1	43	43	0
TÝch LÞch §¬n				139	1	1	-1	-1	45	45	0
TÝch LÞch §¬n				139	2	2	-1	-1	45	45	0
TÝch LÞch §¬n				139	3	3	-1	-1	45	45	0
TÝch LÞch §¬n				139	4	4	-1	-1	45	45	0
TÝch LÞch §¬n				139	5	5	-1	-1	45	45	0
TÝch LÞch §¬n				139	6	6	-1	-1	45	45	0
Truy T©m TiÔn				139	1	1	-1	-1	50	50	0
Truy T©m TiÔn				139	2	2	-1	-1	50	50	0
Truy T©m TiÔn				139	3	3	-1	-1	50	50	0
Truy T©m TiÔn				139	4	4	-1	-1	50	50	0
Truy T©m TiÔn				139	5	5	-1	-1	50	50	0
Truy T©m TiÔn				139	6	6	-1	-1	50	50	0
NhiÕp Hån NguyÖt ¶nh				139	1	1	-1	-1	339	339	0
NhiÕp Hån NguyÖt ¶nh				139	2	2	-1	-1	339	339	0
NhiÕp Hån NguyÖt ¶nh				139	3	3	-1	-1	339	339	0
NhiÕp Hån NguyÖt ¶nh				139	4	4	-1	-1	339	339	0
NhiÕp Hån NguyÖt ¶nh				139	5	5	-1	-1	339	339	0
NhiÕp Hån NguyÖt ¶nh				139	6	6	-1	-1	339	339	0
V« ¶nh Xuyªn				139	1	1	-1	-1	1069	1069	0
V« ¶nh Xuyªn				139	2	2	-1	-1	1069	1069	0
V« ¶nh Xuyªn				139	3	3	-1	-1	1069	1069	0
V« ¶nh Xuyªn				139	4	4	-1	-1	1069	1069	0
M¹n Thiªn Hoa Vò				139	1	1	-1	-1	54	54	0
M¹n Thiªn Hoa Vò				139	2	2	-1	-1	54	54	0
M¹n Thiªn Hoa Vò				139	3	3	-1	-1	54	54	0
M¹n Thiªn Hoa Vò				139	4	4	-1	-1	54	54	0
M¹n Thiªn Hoa Vò				139	5	5	-1	-1	54	54	0
M¹n Thiªn Hoa Vò				139	6	6	-1	-1	54	54	0
B¹o Vò Lª Hoa				139	1	1	-1	-1	302	302	0
B¹o Vò Lª Hoa				139	2	2	-1	-1	302	302	0
B¹o Vò Lª Hoa				139	3	3	-1	-1	302	302	0
B¹o Vò Lª Hoa				139	4	4	-1	-1	302	302	0
B¹o Vò Lª Hoa				139	5	5	-1	-1	302	302	0
B¹o Vò Lª Hoa				139	6	6	-1	-1	302	302	0
ThiÕt Liªn Tø S¸t				139	1	1	-1	-1	1070	1070	0
ThiÕt Liªn Tø S¸t				139	2	2	-1	-1	1070	1070	0
ThiÕt Liªn Tø S¸t				139	3	3	-1	-1	1070	1070	0
ThiÕt Liªn Tø S¸t				139	4	4	-1	-1	1070	1070	0
§o¹t Hån Tiªu				139	1	1	-1	-1	47	47	0
§o¹t Hån Tiªu				139	2	2	-1	-1	47	47	0
§o¹t Hån Tiªu				139	3	3	-1	-1	47	47	0
§o¹t Hån Tiªu				139	4	4	-1	-1	47	47	0
§o¹t Hån Tiªu				139	5	5	-1	-1	47	47	0
§o¹t Hån Tiªu				139	6	6	-1	-1	47	47	0
Cöu Cung Phi Tinh				139	1	1	-1	-1	342	342	0
Cöu Cung Phi Tinh				139	2	2	-1	-1	342	342	0
Cöu Cung Phi Tinh				139	3	3	-1	-1	342	342	0
Cöu Cung Phi Tinh				139	4	4	-1	-1	342	342	0
Cöu Cung Phi Tinh				139	5	5	-1	-1	342	342	0
Cöu Cung Phi Tinh				139	6	6	-1	-1	342	342	0
Cµn Kh«n NhÊt TrÞch				139	1	1	-1	-1	1071	1071	0
Cµn Kh«n NhÊt TrÞch				139	2	2	-1	-1	1071	1071	0
Cµn Kh«n NhÊt TrÞch				139	3	3	-1	-1	1071	1071	0
Cµn Kh«n NhÊt TrÞch				139	4	4	-1	-1	1071	1071	0
C¸i Bang Ch­ëng Ph¸p				139	1	1	-1	-1	116	116	0
C¸i Bang Ch­ëng Ph¸p				139	2	2	-1	-1	116	116	0
C¸i Bang Ch­ëng Ph¸p				139	3	3	-1	-1	116	116	0
C¸i Bang Ch­ëng Ph¸p				139	4	4	-1	-1	116	116	0
C¸i Bang Ch­ëng Ph¸p				139	5	5	-1	-1	116	116	0
C¸i Bang Ch­ëng Ph¸p				139	6	6	-1	-1	116	116	0
KiÕn Nh©n ThÇn Thñ 				139	1	1	-1	-1	122	122	0
KiÕn Nh©n ThÇn Thñ 				139	2	2	-1	-1	122	122	0
KiÕn Nh©n ThÇn Thñ 				139	3	3	-1	-1	122	122	0
KiÕn Nh©n ThÇn Thñ 				139	4	4	-1	-1	122	122	0
KiÕn Nh©n ThÇn Thñ 				139	5	5	-1	-1	122	122	0
KiÕn Nh©n ThÇn Thñ 				139	6	6	-1	-1	122	122	0
Gi¸ng Long Ch­ëng				139	1	1	-1	-1	274	274	0
Gi¸ng Long Ch­ëng				139	2	2	-1	-1	274	274	0
Gi¸ng Long Ch­ëng				139	3	3	-1	-1	274	274	0
Gi¸ng Long Ch­ëng				139	4	4	-1	-1	274	274	0
Gi¸ng Long Ch­ëng				139	5	5	-1	-1	274	274	0
Gi¸ng Long Ch­ëng				139	6	6	-1	-1	274	274	0
